s_db_ex_punch_card_t_clock_actor_user_dt.app_id,s_db_ex_punch_card_t_clock_actor_user_dt.user_id,s_db_ex_punch_card_t_clock_actor_user_dt.common_user_id,s_db_ex_punch_card_t_clock_actor_user_dt.activity_id,s_db_ex_punch_card_t_clock_actor_user_dt.user_type,s_db_ex_punch_card_t_clock_actor_user_dt.clock_days,s_db_ex_punch_card_t_clock_actor_user_dt.latest_diary_time,s_db_ex_punch_card_t_clock_actor_user_dt.zan_count,s_db_ex_punch_card_t_clock_actor_user_dt.comment_count,s_db_ex_punch_card_t_clock_actor_user_dt.topic_count,s_db_ex_punch_card_t_clock_actor_user_dt.review_count,s_db_ex_punch_card_t_clock_actor_user_dt.is_pay,s_db_ex_punch_card_t_clock_actor_user_dt.state,s_db_ex_punch_card_t_clock_actor_user_dt.comment_remind_switch,s_db_ex_punch_card_t_clock_actor_user_dt.punch_remind_switch,s_db_ex_punch_card_t_clock_actor_user_dt.reward_remind_switch,s_db_ex_punch_card_t_clock_actor_user_dt.group_id,s_db_ex_punch_card_t_clock_actor_user_dt.pass_weight,s_db_ex_punch_card_t_clock_actor_user_dt.pass_state,s_db_ex_punch_card_t_clock_actor_user_dt.actor_from,s_db_ex_punch_card_t_clock_actor_user_dt.created_at,s_db_ex_punch_card_t_clock_actor_user_dt.updated_at,s_db_ex_punch_card_t_clock_actor_user_dt.statdate
app00BmoJ3t5722,u_5e4b451056dba_2zGa7iU8EJ,uu_5e4e2624b7e3e_X0gcHizv,ac_5e4e560446926_ujAU8kkP,0,0,1582193884920,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2020-02-20 18:18:04.0,2020-02-20 18:18:04.0,20201115
app00khv0zv4279,u_5bbdcaf292f65_OLtErEiED3,uu_5c02be174541a_TB6Aol8z,ac_5bc063eea5669_0CU8N8Kr,0,2,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-10-12 17:18:39.0,2018-11-26 17:56:45.0,20201115
app00khv0zv4279,u_5bbdcaf292f65_OLtErEiED3,uu_5c02be174541a_TB6Aol8z,ac_5bd2d0d597ac8_6AFW1ozM,0,1,1540832114000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-10-26 16:34:40.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bbdcaf292f65_OLtErEiED3,uu_5c02be174541a_TB6Aol8z,ac_5bda5d843a657_DlxkrSFb,0,0,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-11-02 17:00:53.0,2018-11-26 17:56:45.0,20201115
app00khv0zv4279,u_5bbdcaf292f65_OLtErEiED3,uu_5c02be174541a_TB6Aol8z,ac_5c062b17e4b37_XnqYwJFC,0,0,1546106081000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-29 17:54:41.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bbdcaf292f65_OLtErEiED3,uu_5c02be174541a_TB6Aol8z,ac_5c0630ba63dc5_H7nDXdfK,0,1,0,0,0,0,0,0,0,0,0,1,NULL,1,0,0,2018-12-07 15:21:06.0,2018-12-29 18:49:19.0,20201115
app00khv0zv4279,u_5bbdcaf292f65_OLtErEiED3,uu_5c02be174541a_TB6Aol8z,ac_5c25fe86be92b_tpUfuQuy,0,0,1546022784000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-28 18:46:24.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bbdcaf292f65_OLtErEiED3,uu_5c02be174541a_TB6Aol8z,ac_5c2747a1353e7_dFeFdxoE,0,0,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-29 18:10:23.0,2018-12-29 18:10:23.0,20201115
app00khv0zv4279,u_5bbdcaf292f65_OLtErEiED3,uu_5c02be174541a_TB6Aol8z,ac_5c274c21c4b99_aBWSOBhX,0,0,1546108714000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-29 18:38:34.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bbdce702f665_Sv3XaGJu0Q,uu_5c02be1750720_OnIIVjpp,ac_5bc063eea5669_0CU8N8Kr,0,0,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-10-15 01:40:40.0,2018-11-26 17:56:45.0,20201115
app00khv0zv4279,u_5bbdce702f665_Sv3XaGJu0Q,uu_5c02be1750720_OnIIVjpp,ac_5bd2d0d597ac8_6AFW1ozM,0,0,1540772166000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-10-29 00:16:06.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bbdce702f665_Sv3XaGJu0Q,uu_5c02be1750720_OnIIVjpp,ac_5bda5d843a657_DlxkrSFb,0,0,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-11-01 15:10:59.0,2018-11-26 17:56:45.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5bc063eea5669_0CU8N8Kr,0,0,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-10-25 17:10:41.0,2018-11-26 17:56:45.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5bd2d0d597ac8_6AFW1ozM,0,1,1540809854000,1,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-10-29 10:43:21.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5bda5d843a657_DlxkrSFb,0,0,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-11-02 17:02:12.0,2018-11-26 17:56:45.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5c062b17e4b37_XnqYwJFC,0,1,1546013459000,1,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-28 16:08:50.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5c25fe86be92b_tpUfuQuy,0,0,1546106630000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-29 18:03:50.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5c274c21c4b99_aBWSOBhX,0,1,1546302210000,1,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-29 20:08:34.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5c41a821c534f_GJd9ZLg8,0,0,1548025643000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2019-01-20 23:07:23.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5c4a85b93f61a_8absF2kE,0,0,1548521259000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2019-01-26 16:47:39.0,2019-04-19 14:15:27.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5c4d682651fc4_ojA4O3Fa,0,0,1560589947897,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2019-06-15 17:12:27.0,2019-06-15 17:12:27.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5c7f3165aa1fd_Rr78wsTY,0,0,1551951012000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2019-03-07 09:30:12.0,2019-04-19 14:15:27.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5caadefd34ca7_41zTFn6o,0,1,1556177846756,0,1,0,0,0,0,1,1,1,NULL,1,0,0,2019-04-14 19:09:53.0,2019-04-25 15:37:40.0,20201115
app00khv0zv4279,u_5bd1873ddba4e_c3jDQwoJL6,uu_5c02be1757907_zz1dTYBt,ac_5cab0a7560123_ys1YZUqC,0,2,1555059552000,1,0,0,0,0,0,1,1,1,NULL,1,0,0,2019-04-08 19:56:58.0,2019-04-19 14:15:27.0,20201115
app00khv0zv4279,u_5bd2aa0723caf_rQGvYLgJgc,uu_5c0fc604213c8_U73kiCM8,ac_5c0630ba63dc5_H7nDXdfK,0,0,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-11 22:13:24.0,2018-12-11 22:13:24.0,20201115
app00khv0zv4279,u_5bd2cad0284bb_kmHYXCY9Q8,uu_5c3156f9f14d7_taL5AdyP,ac_5c274c21c4b99_aBWSOBhX,0,2,1546891631000,3,0,0,0,0,0,1,1,1,NULL,1,0,0,2019-01-06 09:16:41.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd2cad44b371_7qZj4mfscq,uu_5c02be176283a_8Q2pULEo,ac_5bda5d843a657_DlxkrSFb,0,1,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,2018-11-02 15:50:05.0,2018-11-26 18:01:13.0,20201115
app00khv0zv4279,u_5bd2cad44b371_7qZj4mfscq,uu_5c02be176283a_8Q2pULEo,ac_5c062b17e4b37_XnqYwJFC,0,1,1543937124000,1,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-04 15:24:36.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd2cad44b371_7qZj4mfscq,uu_5c02be176283a_8Q2pULEo,ac_5c0630ba63dc5_H7nDXdfK,0,1,0,1,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-04 15:46:26.0,2018-12-15 11:38:29.0,20201115
app00khv0zv4279,u_5bd2cae15ad91_MbBPu4PnbY,uu_5c2db037c3e2b_0VOFX2Ek,ac_5c274c21c4b99_aBWSOBhX,0,1,1546537513000,2,1,0,0,0,0,1,1,1,NULL,1,0,0,2019-01-03 14:48:23.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd2caef92067_FKv6ctRTy8,uu_5c063221cd007_z4VKZxrr,ac_5c0630ba63dc5_H7nDXdfK,0,1,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-04 15:52:01.0,2018-12-04 15:54:23.0,20201115
app00khv0zv4279,u_5bd2caef92067_FKv6ctRTy8,uu_5c063221cd007_z4VKZxrr,ac_5c274c21c4b99_aBWSOBhX,0,0,1546338282000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2019-01-01 10:24:42.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd2caf6da83f_0Ed2d0KcZ9,uu_5c2f151102e15_mfAgtBMA,ac_5c274c21c4b99_aBWSOBhX,0,0,1546618257000,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2019-01-04 16:10:57.0,2019-04-19 14:15:26.0,20201115
app00khv0zv4279,u_5bd5d958c5057_aribOsTHbU,uu_5c10ac92d5655_QosAqSkU,ac_5c0630ba63dc5_H7nDXdfK,0,0,0,0,0,0,0,0,0,1,1,1,NULL,1,0,0,2018-12-12 14:37:06.0,2018-12-12 14:37:06.0,20201115
